gene_symbol	gene_dpi	gene_pli	protein_class	diseaseid	disease_semantic_type	score	ei	el	year_initial	year_final
IL16	0.846	1.2449e-10	DTO_05007599	C0152424	Congenital Abnormality	0.01	1.0		2017	2017
PLOD2	0.654	6.6965e-08	DTO_05007624	C0152424	Congenital Abnormality	0.01	0.0		2019	2019
CHDH	0.769	1.685e-06	DTO_05007624	C0152424	Congenital Abnormality	0.01	1.0		2017	2017
REN	0.923	2.4297e-07	DTO_05007624	C0152424	Congenital Abnormality	0.01	1.0		2011	2011
RFX4	0.231	0.99999	DTO_05007542	C0152424	Congenital Abnormality	0.01	1.0		2018	2018
SOAT1	0.846	7.3621e-10	DTO_05007624	C0152424	Congenital Abnormality	0.01	1.0		2018	2018
PDE5A	0.731	0.00010643		C0152424	Congenital Abnormality	0.01	1.0		2018	2018
TP53INP1	0.654	0.00046552		C0152424	Congenital Abnormality	0.01	1.0		2017	2017
TAZ	0.808	0.72591	DTO_05007624	C0014117	Disease or Syndrome	0.11	1.0		2006	2006
CSRP3	0.731	0.00015859	DTO_05007530	C0014117	Disease or Syndrome	0.11	1.0		2004	2004
ACTN2	0.462	0.99968		C0014117	Disease or Syndrome	0.11	1.0		2004	2004
GJA5	0.577	0.017871	DTO_05007527	C0014117	Disease or Syndrome	0.1				
IDUA	0.846	3.7599e-13	DTO_05007624	C0014117	Disease or Syndrome	0.1				
SLC22A5	0.731	5.2651e-16	DTO_05007405	C0014117	Disease or Syndrome	0.1				
NEBL	0.692	1.7679e-36		C0014117	Disease or Syndrome	0.01	1.0		2010	2010
ELN	0.885	2.1429e-14		C0014117	Disease or Syndrome	0.01	1.0		2019	2019
MYH7	0.692	4.2385e-16		C0014117	Disease or Syndrome	0.01	1.0		2006	2006
BMP7	0.769	0.12727	DTO_05007599	C0014117	Disease or Syndrome	0.01	1.0		2017	2017
SSB	0.692	0.089615	DTO_05007557	C0014117	Disease or Syndrome	0.01	1.0		2009	2009
ZIC3	0.423	0.92495	DTO_05007542	C0011813	Congenital Abnormality	0.4	1.0		2007	2007
CFAP53	0.115	9.6973e-19		C0011813	Congenital Abnormality	0.11	1.0		2016	2016
ZMPSTE24	0.731	8.8702e-16	DTO_05007624	C0011813	Congenital Abnormality	0.1				
LRRC56	0.5	7.6752e-10		C0011813	Congenital Abnormality	0.1				
CEP120	0.731	4.0887e-15		C0011813	Congenital Abnormality	0.1				
UBR1	0.731	0.0054862		C0011813	Congenital Abnormality	0.1				
TGDS	0.538	2.4826e-09		C0011813	Congenital Abnormality	0.1				
LMNA	0.885	0.9994		C0011813	Congenital Abnormality	0.1				
NEK1	0.769	1.9084e-25	DTO_03300101	C0011813	Congenital Abnormality	0.1				
NODAL	0.731	0.97028	DTO_05007599	C0011813	Congenital Abnormality	0.1				
AHI1	0.846	1.0773e-25		C0011813	Congenital Abnormality	0.1				
MKS1	0.769	3.3768e-16	DTO_05007621	C0011813	Congenital Abnormality	0.1				
INPP5E	0.615	0.0031048		C0011813	Congenital Abnormality	0.1				
PIEZO2	0.769	8.0992e-07	DTO_01300327	C0011813	Congenital Abnormality	0.1				
SMARCB1	0.846	0.9971	DTO_05007557	C0011813	Congenital Abnormality	0.1				
MYRF	0.731	1.0		C0011813	Congenital Abnormality	0.1				
TMEM258	0.654	0.0018504		C0011813	Congenital Abnormality	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C0011813	Congenital Abnormality	0.1				
COL18A1	0.808	1.7414e-10		C0011813	Congenital Abnormality	0.1				
ACVR2B	0.615	0.83412	DTO_03300101	C0011813	Congenital Abnormality	0.1				
CEP41	0.5	3.5915e-06		C0011813	Congenital Abnormality	0.1				
KIAA0586	0.731	5.1344e-16		C0011813	Congenital Abnormality	0.1				
CFTR	0.885	2.1735e-58	DTO_01300327	C0011813	Congenital Abnormality	0.01	0.0		2012	2012
RSPH9	0.615	2.3881e-09	DTO_05007557	C0011813	Congenital Abnormality	0.01	0.0		2012	2012
PKD1	0.769	1.0		C0011813	Congenital Abnormality	0.01	1.0		2011	2011
PKD2	0.731	0.00017271	DTO_01300327	C0011813	Congenital Abnormality	0.01	1.0		2011	2011
MARCHF1	0.808	0.0086782		C0011813	Congenital Abnormality	0.01	1.0		2018	2018
CENPJ	0.846	2.0603e-27	DTO_05007624	C0011813	Congenital Abnormality	0.01	1.0		2019	2019
CTC1	0.538	1.6015e-11		C0011813	Congenital Abnormality	0.01	1.0		2015	2015
HES7	0.538	0.827	DTO_05007542	C0011813	Congenital Abnormality	0.01	1.0		2015	2015
CRTAP	0.654	0.00055361	DTO_05007621	C0265905	Congenital Abnormality	0.1				
CERNA3	0.808			C4703564	Anatomical Abnormality	0.01	1.0		2018	2018
PCYT1A	0.885	2.024e-05		C4703564	Anatomical Abnormality	0.01	1.0		2018	2018
PRG4	0.615	1.7017e-08		C0031048	Disease or Syndrome	0.1				
ABCC2	0.808	5.2025e-47	DTO_05007405	C0031048	Disease or Syndrome	0.01	1.0		2009	2009
WBP2NL	0.115	8.182e-08		C0031048	Disease or Syndrome	0.01	1.0		2019	2019
SMUG1	0.923	0.00045154		C0031048	Disease or Syndrome	0.01	1.0		2019	2019
IGHD1-14	0.346			C0031048	Disease or Syndrome	0.01	1.0		2019	2019
MEFV	0.885	1.0177e-14		C0031048	Disease or Syndrome	0.01	1.0		2011	2011
TNNI3	0.769	0.096284	DTO_05007530	C0031048	Disease or Syndrome	0.01	1.0		2016	2016
CNBP	0.692	0.95994		C0031048	Disease or Syndrome	0.01	1.0		2019	2019
ACE	0.923	1.0344e-37	DTO_05007624	C0003492	Congenital Abnormality	0.2	1.0		2008	2008
GATA5	0.615	0.28478		C0003492	Congenital Abnormality	0.11	1.0		2014	2014
JAG1	0.808	1.0		C0003492	Congenital Abnormality	0.11	1.0		2002	2002
NOTCH1	0.885	1.0		C0003492	Congenital Abnormality	0.11	1.0		2015	2015
MCTP2	0.577	6.03e-52		C0003492	Congenital Abnormality	0.11	1.0		2013	2013
PTPN11	0.923	0.99998		C0003492	Congenital Abnormality	0.11	1.0		2005	2005
RNU4ATAC	0.808			C0003492	Congenital Abnormality	0.1				
NKX2-6	0.385	0.018885	DTO_05007542	C0003492	Congenital Abnormality	0.1				
AMER1	0.654	0.8538		C0003492	Congenital Abnormality	0.1				
NKX2-5	0.692	0.94531	DTO_05007542	C0003492	Congenital Abnormality	0.1				
DHCR7	0.846	3.949e-13	DTO_05007624	C0003492	Congenital Abnormality	0.1				
FGFR1	0.885	0.99984	DTO_03300101	C0003492	Congenital Abnormality	0.1				
PUF60	0.769	0.99677		C0003492	Congenital Abnormality	0.1				
FLI1	0.692	0.9894	DTO_05007542	C0003492	Congenital Abnormality	0.1				
SPECC1L	0.654	0.85887		C0003492	Congenital Abnormality	0.1				
TGDS	0.538	2.4826e-09		C0003492	Congenital Abnormality	0.1				
GATA4	0.846	0.49308		C0003492	Congenital Abnormality	0.1				
GATA6	0.808	0.99709		C0003492	Congenital Abnormality	0.1				
GDF1	0.692	0.41237	DTO_05007599	C0003492	Congenital Abnormality	0.1				
GJA5	0.577	0.017871	DTO_05007527	C0003492	Congenital Abnormality	0.1				
GJA8	0.577	0.002205	DTO_05007527	C0003492	Congenital Abnormality	0.1				
GLI3	0.846	0.99999		C0003492	Congenital Abnormality	0.1				
HRAS	0.885	0.079774	DTO_05007584	C0003492	Congenital Abnormality	0.1				
KRAS	0.923	0.00078803	DTO_05007584	C0003492	Congenital Abnormality	0.1				
SMAD4	0.808	0.99881	DTO_05007542	C0003492	Congenital Abnormality	0.1				
SMAD6	0.731	3.6282e-20	DTO_05007542	C0003492	Congenital Abnormality	0.1				
MEIS2	0.808	0.99938	DTO_05007624	C0003492	Congenital Abnormality	0.1				
MMP2	0.923	0.83878	DTO_05007624	C0003492	Congenital Abnormality	0.1				
MMP14	0.769	0.99522	DTO_05007624	C0003492	Congenital Abnormality	0.1				
NRAS	0.808	0.49009	DTO_05007584	C0003492	Congenital Abnormality	0.1				
PAH	0.769	6.4046e-23		C0003492	Congenital Abnormality	0.1				
WDPCP	0.769	1.0908e-10		C0003492	Congenital Abnormality	0.1				
DYNC2LI1	0.5	3.154e-09	DTO_05007530	C0003492	Congenital Abnormality	0.1				
MKS1	0.769	3.3768e-16	DTO_05007621	C0003492	Congenital Abnormality	0.1				
PPP1CB	0.577	0.99912	DTO_05007624	C0003492	Congenital Abnormality	0.1				
CHD7	0.846	1.0		C0003492	Congenital Abnormality	0.1				
MAP2K1	0.846	0.89669	DTO_03300101	C0003492	Congenital Abnormality	0.1				
PTH1R	0.731	0.57253	DTO_02300001	C0003492	Congenital Abnormality	0.1				
RAP1A	0.808	0.62227	DTO_05007584	C0003492	Congenital Abnormality	0.1				
RAP1B	0.769	0.90995	DTO_05007584	C0003492	Congenital Abnormality	0.1				
RPS19	0.846	0.92111	DTO_05007557	C0003492	Congenital Abnormality	0.1				
STRA6	0.731	1.5068e-10		C0003492	Congenital Abnormality	0.1				
SOS2	0.692	0.99955	DTO_05007584	C0003492	Congenital Abnormality	0.1				
BRAF	0.846	0.99995	DTO_03300101	C0003492	Congenital Abnormality	0.1				
SRY	0.808		DTO_05007542	C0003492	Congenital Abnormality	0.1				
TALDO1	0.654	2.5234e-06		C0003492	Congenital Abnormality	0.1				
TBX1	0.808	0.83661	DTO_05007542	C0003492	Congenital Abnormality	0.1				
BUB1	0.731	4.8813e-09	DTO_03300101	C0003492	Congenital Abnormality	0.1				
BUB1B	0.808	6.998e-10	DTO_03300101	C0003492	Congenital Abnormality	0.1				
NR2F2	0.692	0.98972	DTO_00102000	C0003492	Congenital Abnormality	0.1				
KDM6A	0.769	1.0	DTO_05007378	C0003492	Congenital Abnormality	0.1				
WT1	0.808	0.99648	DTO_05007557	C0003492	Congenital Abnormality	0.1				
ZNF148	0.654	0.99997	DTO_05007542	C0003492	Congenital Abnormality	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C0003492	Congenital Abnormality	0.1				
EHMT1	0.808	1.0	DTO_05007378	C0003492	Congenital Abnormality	0.1				
KMT2D	0.808	1.0		C0003492	Congenital Abnormality	0.1				
LZTR1	0.808	1.0211e-92		C0003492	Congenital Abnormality	0.1				
ARID1A	0.846	1.0		C0003492	Congenital Abnormality	0.1				
TRRAP	0.692	1.0		C0003492	Congenital Abnormality	0.1				
TRAF7	0.423	0.021819		C0003492	Congenital Abnormality	0.1				
UBE3B	0.692	4.1871e-08		C0003492	Congenital Abnormality	0.1				
BUB3	0.615	0.80927	DTO_05007557	C0003492	Congenital Abnormality	0.1				
TRIP13	0.654	0.99606		C0003492	Congenital Abnormality	0.1				
CEP57	0.615	0.072685		C0003492	Congenital Abnormality	0.1				
MED12	0.769	1.0	DTO_05007542	C0003492	Congenital Abnormality	0.1				
ARSD	0.808	0.0016285	DTO_05007624	C0003492	Congenital Abnormality	0.03	1.0		2009	2019
EDN1	0.846	0.45504	DTO_05007599	C0003492	Congenital Abnormality	0.02	1.0		2019	2019
AVSD1	0.192			C0003492	Congenital Abnormality	0.02	1.0		1990	2002
PRRT2	0.808	0.57919		C0003492	Congenital Abnormality	0.01	1.0		2019	2019
DSG4	0.423	5.9129e-13	DTO_05007620	C0003492	Congenital Abnormality	0.01	1.0		2014	2014
AGT	0.923	4.9706e-08	DTO_05007584	C0003492	Congenital Abnormality	0.01	1.0		2012	2012
AGTR1	0.846	0.00053161	DTO_02300001	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
FOXC1	0.846	0.95337	DTO_05007542	C0003492	Congenital Abnormality	0.01	1.0		2016	2016
NPTXR	0.423	0.71597		C0003492	Congenital Abnormality	0.01	1.0		2019	2019
IL13	0.846	0.014426		C0003492	Congenital Abnormality	0.01	1.0		2019	2019
LGALS3	0.846	2.3207e-05	DTO_05007599	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
MAS1	0.769	8.2518e-05	DTO_02300001	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
MYH6	0.615	1.5952e-32		C0003492	Congenital Abnormality	0.01	1.0		2018	2018
MIR378A	0.808			C0003492	Congenital Abnormality	0.01	1.0		2019	2019
PRKCA	0.846	0.3677	DTO_03300101	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
PRKCB	0.885	1.0	DTO_03300101	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
ACE2	0.769	0.99769	DTO_05007624	C0003492	Congenital Abnormality	0.01	1.0		2019	2019
UBL5	0.5	0.016321		C0003492	Congenital Abnormality	0.01	1.0		2020	2020
TBX5	0.769	0.99954	DTO_05007542	C0003492	Congenital Abnormality	0.01	1.0		2014	2014
TRPM2	0.731	8.9633e-44	DTO_01300327	C0003492	Congenital Abnormality	0.01	1.0		2015	2015
CAD	0.846	0.99993	DTO_05007624	C0003492	Congenital Abnormality	0.01	0.0		2019	2019
TBL1Y	0.385	4.03e-13		C0003492	Congenital Abnormality	0.01	1.0		2012	2012
MATR3	0.538	1.0		C0003492	Congenital Abnormality	0.01	1.0		2015	2015
CFC1	0.577	0.10509	DTO_05007616	C0013069	Congenital Abnormality	0.62	1.0		1999	2008
GDF1	0.692	0.41237	DTO_05007599	C0013069	Congenital Abnormality	0.4	1.0		2007	2007
YES1	0.577	4.0091e-05	DTO_03300101	C0013069	Congenital Abnormality	0.3	1.0		2014	2014
ECE1	0.769	0.95987	DTO_05007624	C0013069	Congenital Abnormality	0.2	1.0		2000	2000
CFC1B	0.115			C0013069	Congenital Abnormality	0.2	1.0		1999	1999
ZFPM2	0.731	1.0	DTO_05007542	C0013069	Congenital Abnormality	0.13	1.0		2011	2014
TBX1	0.808	0.83661	DTO_05007542	C0013069	Congenital Abnormality	0.13	1.0		2013	2017
NR2F2	0.692	0.98972	DTO_00102000	C0013069	Congenital Abnormality	0.12	1.0		2018	2018
NKX2-5	0.692	0.94531	DTO_05007542	C0013069	Congenital Abnormality	0.11	1.0		2008	2008
GATA4	0.846	0.49308		C0013069	Congenital Abnormality	0.11	1.0		2019	2019
ZFPM2-AS1	0.385			C0013069	Congenital Abnormality	0.1				
CERS1	0.385	0.096618		C0013069	Congenital Abnormality	0.1				
LRRC56	0.5	7.6752e-10		C0013069	Congenital Abnormality	0.1				
NKX2-6	0.385	0.018885	DTO_05007542	C0013069	Congenital Abnormality	0.1				
GATA5	0.615	0.28478		C0013069	Congenital Abnormality	0.1				
PKD1L1	0.231	1.0852e-40	DTO_01300327	C0013069	Congenital Abnormality	0.1	1.0		2016	2016
GATA6	0.808	0.99709		C0013069	Congenital Abnormality	0.1				
MMP2	0.923	0.83878	DTO_05007624	C0013069	Congenital Abnormality	0.1				
MMP14	0.769	0.99522	DTO_05007624	C0013069	Congenital Abnormality	0.1				
PAH	0.769	6.4046e-23		C0013069	Congenital Abnormality	0.1				
CHD7	0.846	1.0		C0013069	Congenital Abnormality	0.1				
TBC1D24	0.808	1.2788e-08	DTO_05007584	C0013069	Congenital Abnormality	0.1				
PEX19	0.731	0.0003188	DTO_05007612	C0013069	Congenital Abnormality	0.1				
TBX2	0.769	0.99329	DTO_05007542	C0013069	Congenital Abnormality	0.1				
UBE2A	0.692	0.815		C0013069	Congenital Abnormality	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C0013069	Congenital Abnormality	0.1				
ARID1A	0.846	1.0		C0013069	Congenital Abnormality	0.1				
TRAF7	0.423	0.021819		C0013069	Congenital Abnormality	0.1				
SEMA3E	0.769	8.7148e-09	DTO_05007599	C0013069	Congenital Abnormality	0.1				
TMEM94	0.654	2.7548e-14		C0013069	Congenital Abnormality	0.1				
WASHC5	0.615	8.2703e-18	DTO_05007405	C0013069	Congenital Abnormality	0.1				
GPC3	0.808	0.9982		C0013069	Congenital Abnormality	0.02	1.0		2009	2017
ISL1	0.654	0.86857	DTO_05007542	C0013069	Congenital Abnormality	0.02	1.0		2011	2019
MEF2C	0.769	0.017256	DTO_05007542	C0013069	Congenital Abnormality	0.02	1.0		2016	2018
CHDH	0.769	1.685e-06	DTO_05007624	C0013069	Congenital Abnormality	0.02	1.0		2018	2019
ZIC3	0.423	0.92495	DTO_05007542	C0013069	Congenital Abnormality	0.02	1.0		2013	2018
DVL3	0.731	0.38544	DTO_05007599	C0013069	Congenital Abnormality	0.01	1.0		2008	2008
FGFR2	0.808	0.99731	DTO_03300101	C0013069	Congenital Abnormality	0.01	1.0		2006	2006
WDFY3	0.423	1.0		C0013069	Congenital Abnormality	0.01	1.0		2019	2019
PAX3	0.769	0.24063		C0013069	Congenital Abnormality	0.01	1.0		2006	2006
PITX2	0.808	0.97618		C0013069	Congenital Abnormality	0.01	1.0		2003	2003
MESP1	0.192	8.6067e-05		C0013069	Congenital Abnormality	0.01	1.0		2017	2017
MOSPD1	0.231	0.92491		C0013069	Congenital Abnormality	0.01	1.0		2017	2017
TBX20	0.346	0.97302	DTO_05007542	C0013069	Congenital Abnormality	0.01	1.0		2015	2015
TGFB2	0.885	0.99905	DTO_05007599	C0013069	Congenital Abnormality	0.01	1.0		2017	2017
IFT88	0.654	7.1224e-11		C0013069	Congenital Abnormality	0.01	1.0		2019	2019
HAND1	0.308	0.10914		C0013069	Congenital Abnormality	0.01	1.0		2017	2017
MATR3	0.538	1.0		C0013069	Congenital Abnormality	0.01	1.0		2015	2015
MMP21	0.385	1.3213e-09	DTO_05007624	C4551903	Disease or Syndrome	0.1				
DHCR24	0.769	0.031029	DTO_05007624	C4551903	Disease or Syndrome	0.1				
GDF1	0.692	0.41237	DTO_05007599	C4551903	Disease or Syndrome	0.1				
ANKRD1	0.692	2.6259e-10		C4551903	Disease or Syndrome	0.03	1.0		2008	2019
CORIN	0.538	6.5072e-35		C4551903	Disease or Syndrome	0.01	0.0		2000	2000
RBP7	0.346	0.54133		C4551903	Disease or Syndrome	0.01	1.0		2015	2015
ZDHHC8	0.346	0.85288		C4551903	Disease or Syndrome	0.01	1.0		2018	2018
PDGFRA	0.808	1.0	DTO_03300101	C4551903	Disease or Syndrome	0.01	1.0		2010	2010
TBX20	0.346	0.97302	DTO_05007542	C4551903	Disease or Syndrome	0.01	1.0		2009	2009
SGCD	0.615	0.0020725	DTO_05007530	C4551903	Disease or Syndrome	0.01	1.0		2017	2017
SNAI1	0.808	0.21754		C4551903	Disease or Syndrome	0.01	1.0		2018	2018
VAV2	0.577	3.1086e-06		C4551903	Disease or Syndrome	0.01	0.0		2018	2018
VEGFA	0.923	2.4085e-05	DTO_05007599	C4551903	Disease or Syndrome	0.01	1.0		1995	1995
HMGA2	0.808	0.87015	DTO_05007557	C4551903	Disease or Syndrome	0.01	1.0		2018	2018
RBP5	0.192	4.9181e-05		C4551903	Disease or Syndrome	0.01	1.0		2015	2015
ACVRL1	0.769	0.00096719	DTO_03300101	C4551903	Disease or Syndrome	0.01	1.0		2017	2017
GNAQ	0.808	0.98069	DTO_05007584	C4476886	Anatomical Abnormality	0.1				
UBE2A	0.692	0.815		C4476886	Anatomical Abnormality	0.1				
ZEB2	0.808	1.0	DTO_05007542	C0431501	Congenital Abnormality	0.1				
DGCR8	0.731	0.99973		C4025695	Anatomical Abnormality	0.1				
STRA6	0.731	1.5068e-10		C4025695	Anatomical Abnormality	0.1				
TBX1	0.808	0.83661	DTO_05007542	C4025695	Anatomical Abnormality	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C4025695	Anatomical Abnormality	0.1				
DGCR6	0.5	9.8176e-12		C4025695	Anatomical Abnormality	0.1				
ESS2	0.615	2.4382e-07		C4025695	Anatomical Abnormality	0.1				
DGCR2	0.731	5.1573e-06		C4025695	Anatomical Abnormality	0.1				
MYRF	0.731	1.0		C1735886	Disease or Syndrome	0.1				
TMEM258	0.654	0.0018504		C1735886	Disease or Syndrome	0.1				
GATA6	0.808	0.99709		C0265837	Congenital Abnormality	0.1				
ARID1A	0.846	1.0		C0265837	Congenital Abnormality	0.1				
PKD1L1	0.231	1.0852e-40	DTO_01300327	C4023272	Congenital Abnormality	0.1	1.0		2016	2016
TNXB	0.731	0.018547		C0345002	Congenital Abnormality	0.11	1.0		2009	2009
NKX2-5	0.692	0.94531	DTO_05007542	C0344760	Congenital Abnormality	0.1				
GJA1	0.885	0.15523	DTO_05007527	C0344760	Congenital Abnormality	0.1				
MCTP2	0.577	6.03e-52		C0344760	Congenital Abnormality	0.1				
MYRF	0.731	1.0		C0344760	Congenital Abnormality	0.1				
TMEM258	0.654	0.0018504		C0344760	Congenital Abnormality	0.1				
ZIC3	0.423	0.92495	DTO_05007542	C0344760	Congenital Abnormality	0.1				
ARID1A	0.846	1.0		C0344760	Congenital Abnormality	0.1				
CCNQ	0.462	0.90384	DTO_05007584	C0344760	Congenital Abnormality	0.1				
MYH6	0.615	1.5952e-32		C0344724	Congenital Abnormality	0.6	1.0		2005	2005
NKX2-5	0.692	0.94531	DTO_05007542	C0344724	Congenital Abnormality	0.43	1.0		2003	2017
GATA4	0.846	0.49308		C0344724	Congenital Abnormality	0.41	1.0		2003	2011
GATA6	0.808	0.99709		C0344724	Congenital Abnormality	0.4	1.0		2010	2010
ACTC1	0.538	0.73668	DTO_05007530	C0344724	Congenital Abnormality	0.31	1.0		2008	2016
PQBP1	0.654	0.78935	DTO_05007542	C0344724	Congenital Abnormality	0.3	1.0		2006	2006
CITED2	0.654	0.76271	DTO_05007542	C0344724	Congenital Abnormality	0.3	1.0		2005	2005
TBX20	0.346	0.97302	DTO_05007542	C0344724	Congenital Abnormality	0.3	1.0		2010	2010
TLL1	0.5	0.17306		C0344724	Congenital Abnormality	0.3	1.0		2009	2009
PTPN11	0.923	0.99998		C0344724	Congenital Abnormality	0.11	1.0		2007	2018
TAB2	0.654	0.99998		C0344724	Congenital Abnormality	0.1				
GDF1	0.692	0.41237	DTO_05007599	C0344724	Congenital Abnormality	0.1				
NF1	0.885	0.90175	DTO_05007584	C0344724	Congenital Abnormality	0.1				
RPL11	0.577	0.96088	DTO_05007557	C0344724	Congenital Abnormality	0.1				
TBX5	0.769	0.99954	DTO_05007542	C0344724	Congenital Abnormality	0.1	1.0		2018	2018
F2	0.885	0.0011118	DTO_05007624	C0344724	Congenital Abnormality	0.04	1.0		2007	2013
F5	0.846	5.919e-15	DTO_05007624	C0344724	Congenital Abnormality	0.04	1.0		2003	2009
ARSD	0.808	0.0016285	DTO_05007624	C0344724	Congenital Abnormality	0.03	0.667		2011	2018
MTHFR	0.885	3.2068e-10		C0344724	Congenital Abnormality	0.02	1.0		2010	2013
P2RY12	0.731	0.0016859	DTO_02300001	C0344724	Congenital Abnormality	0.02	1.0		2018	2018
C20orf181	0.885			C0344724	Congenital Abnormality	0.01	1.0		2018	2018
CHM	0.654	0.99899	DTO_05007624	C0344724	Congenital Abnormality	0.01	1.0		2019	2019
CLNK	0.269	1.7251e-29	DTO_05007599	C0344724	Congenital Abnormality	0.01	1.0		2017	2017
COX8A	0.846	0.11606	DTO_05007624	C0344724	Congenital Abnormality	0.01	1.0		2003	2003
F3	0.846	0.018872	DTO_05007575	C0344724	Congenital Abnormality	0.01	1.0		2011	2011
NNT	0.577	0.97271	DTO_05007624	C0344724	Congenital Abnormality	0.01	1.0		2018	2018
APOC3	0.731	0.010024		C0344724	Congenital Abnormality	0.01	1.0		2013	2013
MSX1	0.731	0.16517	DTO_05007542	C0344724	Congenital Abnormality	0.01	1.0		2013	2013
MSX2	0.769	0.26173	DTO_05007542	C0344724	Congenital Abnormality	0.01	1.0		2018	2018
ATP1A2	0.615	0.00018093	DTO_05007405	C0344724	Congenital Abnormality	0.01	1.0		2018	2018
NPPB	0.808	9.8786e-06		C0344724	Congenital Abnormality	0.01	1.0		2019	2019
STX18	0.269	2.4881e-07	DTO_05007405	C0344724	Congenital Abnormality	0.01	1.0		2013	2013
CHDH	0.769	1.685e-06	DTO_05007624	C0344724	Congenital Abnormality	0.01	1.0		2011	2011
RENBP	0.769	0.44916	DTO_05007624	C0344724	Congenital Abnormality	0.01	1.0		2008	2008
VWF	0.885	3.2187e-25	DTO_05007584	C0344724	Congenital Abnormality	0.01	1.0		2005	2005
LBX2	0.231	0.0058839	DTO_05007542	C0344724	Congenital Abnormality	0.01	1.0		2018	2018
G6PC3	0.731	4.7177e-06		C0344724	Congenital Abnormality	0.01	1.0		2011	2011
GATA4	0.846	0.49308		C0344622	Congenital Abnormality	0.01	1.0		2007	2007
ASD1	0.154			C0344622	Congenital Abnormality	0.01	1.0		2007	2007
MTHFR	0.885	3.2068e-10		C0344622	Congenital Abnormality	0.01	1.0		2006	2006
CHDH	0.769	1.685e-06	DTO_05007624	C0344622	Congenital Abnormality	0.01	1.0		2017	2017
PKD1L1	0.231	1.0852e-40	DTO_01300327	C0035615	Congenital Abnormality	0.1	1.0		2016	2016
DNAH1	0.615	1.4983e-26	DTO_05007624	C0035615	Congenital Abnormality	0.1				
GDF1	0.692	0.41237	DTO_05007599	C0035615	Congenital Abnormality	0.1				
ACVR2B	0.615	0.83412	DTO_03300101	C0035615	Congenital Abnormality	0.1				
ACTB	0.923	0.98564	DTO_05007530	C0003516	Congenital Abnormality	0.01	1.0		2017	2017
GATA4	0.846	0.49308		C0344735	Congenital Abnormality	0.4	1.0		2003	2009
GATA6	0.808	0.99709		C0344735	Congenital Abnormality	0.3	1.0		2010	2010
NR2F2	0.692	0.98972	DTO_00102000	C0344735	Congenital Abnormality	0.3	1.0		2014	2014
CRELD1	0.269	1.3432e-11	DTO_05007616	C0344735	Congenital Abnormality	0.3	1.0		2003	2010
CCN1	0.731	0.71388	DTO_05007599	C0344735	Congenital Abnormality	0.2	1.0		2006	2006
NTF3	0.808	0.93201	DTO_05007599	C0344735	Congenital Abnormality	0.2	1.0		1994	2009
GJA1	0.885	0.15523	DTO_05007527	C0344735	Congenital Abnormality	0.1				
TRAF7	0.423	0.021819		C0344735	Congenital Abnormality	0.1				
ACVR1	0.731	0.3254	DTO_03300101	C0344735	Congenital Abnormality	0.01	1.0		2011	2011
PQBP1	0.654	0.78935	DTO_05007542	C0031192	Congenital Abnormality	0.3	1.0		2006	2006
MYH6	0.615	1.5952e-32		C0031192	Congenital Abnormality	0.3	1.0		2005	2005
TBX5	0.769	0.99954	DTO_05007542	C0031192	Congenital Abnormality	0.01	1.0		1999	1999
TRIM37	0.654	9.7042e-12		C0240709	Finding	0.1				
GATA6	0.808	0.99709		C0265809	Congenital Abnormality	0.1				
TFAP2B	0.769	0.99023	DTO_05007542	C0013274	Congenital Abnormality	0.5	0.929		2000	2019
PRDM6	0.692	0.60835		C0013274	Congenital Abnormality	0.41	1.0		2016	2016
AGTR1	0.846	0.00053161	DTO_02300001	C0013274	Congenital Abnormality	0.35	1.0		2003	2016
PTGIS	0.654	1.197e-09		C0013274	Congenital Abnormality	0.31	1.0		2009	2009
NPPA	0.769	0.00054522		C0013274	Congenital Abnormality	0.3	1.0		1992	1992
TRAF1	0.731	0.0035639	DTO_05007599	C0013274	Congenital Abnormality	0.3	1.0		2009	2009
KRAS	0.923	0.00078803	DTO_05007584	C0013274	Congenital Abnormality	0.2	1.0		2009	2019
MYOCD	0.615	0.33364		C0013274	Congenital Abnormality	0.2				
MYH11	0.731	0.77299		C0013274	Congenital Abnormality	0.15	1.0		2006	2016
ACTA2	0.846	0.93017	DTO_05007530	C0013274	Congenital Abnormality	0.14	1.0		2012	2018
ACTB	0.923	0.98564	DTO_05007530	C0013274	Congenital Abnormality	0.13	1.0		2011	2015
TGFBR2	0.846	0.12535	DTO_03300101	C0013274	Congenital Abnormality	0.13	1.0		2004	2016
WT1	0.808	0.99648	DTO_05007557	C0013274	Congenital Abnormality	0.13	1.0		2017	2019
SMAD4	0.808	0.99881	DTO_05007542	C0013274	Congenital Abnormality	0.12	1.0		2011	2017
BRAF	0.846	0.99995	DTO_03300101	C0013274	Congenital Abnormality	0.12	1.0		2012	2015
